"","dta_collection_time","contract_time","ship_time","bid_time","vsl_company","vsl_name","vsl_type","total_weight","port","port_type_value","port_price_diff","distance","income","cost","bang_dian_cost","chao_qi_cost","kua_gang_cost"
"1",2016-07-15,2016-05-15,2016-05-20,2016-05-12,"HuaDe","1","0.5W",1042.222,"NingBoBaoDa",5000,5,715,39,50,1,0,0
"2",2016-07-15,2016-05-15,2016-05-20,2016-05-12,"HuaDe","1","0.5W",1883.841,"NingBoHaiZhao",5000,5,715,39,50,1,0,0
"3",2016-07-15,2016-05-21,2016-05-26,2016-05-12,"HuaDe","2","0.5W",372.972,"NingBoBaoDa",5000,5,715,39,43,1,0,0
"4",2016-07-15,2016-05-21,2016-05-26,2016-05-12,"HuaDe","2","0.5W",2380.966,"NingBoHaiZhao",5000,5,715,39,43,1,0,0
"5",2016-07-15,2016-05-21,2016-05-26,2016-05-12,"HuaDe","2","0.5W",74.68,"NingBoHuaPu",7500,5,715,39,43,1,0,0
"6",2016-07-15,2016-05-21,2016-05-26,2016-05-12,"HuaDe","2","0.5W",1649.38,"NingBoJiangYong",5100,5,715,39,43,1,0,0
"7",2016-07-15,2016-05-25,2016-05-30,2016-05-12,"HuaDe","3","0.5W",5016.34,"JiaoJiangSSZD",5100,5,830,39,47,1,0,0
"8",2016-07-15,2016-05-27,2016-06-01,2016-05-12,"HuaDe","4","1.3-1.5W",2253.845,"NingBoBaoDa",5000,5,715,39,27,1,2,0
"9",2016-07-15,2016-05-27,2016-06-01,2016-05-12,"HuaDe","4","1.3-1.5W",12462.276,"NingBoZhenHai",16000,0,715,34,27,1,2,0
"10",2016-07-15,2016-06-01,2016-06-06,2016-05-12,"HuaDe","5","0.3W",3347.1,"NingBoHaiZhao",5000,5,715,39,45,1,0,0
"11",2016-07-15,2016-06-01,2016-06-06,2016-05-12,"HuaDe","6","0.5W",4707.23,"NingBoHaiZhao",5000,5,715,39,43,1,0,0
"12",2016-07-15,2016-06-01,2016-06-06,2016-05-12,"HuaDe","2","0.5W",4443.818,"NingBoHaiZhao",5000,5,715,39,43,1,0,0
"13",2016-07-15,2016-06-01,2016-06-06,2016-05-12,"HuaDe","7","0.5W",2667.198,"NingBoBaoDa",5000,5,715,39,44,1,0,0
"14",2016-07-15,2016-06-01,2016-06-06,2016-05-12,"HuaDe","7","0.5W",2248.1,"NingBoHaiZhao",5000,5,715,39,44,1,0,0
"15",2016-07-15,2016-06-01,2016-06-06,2016-05-12,"HuaDe","7","0.5W",77.99,"NingBoJiangYong",5100,5,715,39,44,1,0,0
"16",2016-07-15,2016-06-07,2016-06-12,2016-05-12,"HuaDe","8","0.5W",2927.869,"NingBoBaoDa",5000,5,715,39,27,1,0,0
"17",2016-07-15,2016-06-07,2016-06-12,2016-05-12,"HuaDe","8","0.5W",3118.35,"NingBoZhenHai",16000,0,715,34,27,1,0,0
"18",2016-07-15,2016-06-07,2016-06-12,2016-05-12,"HuaDe","9","0.5W",3796.277,"JiaoJiangSSZD",5100,5,830,39,48,1,0,0
"19",2016-07-15,2016-06-07,2016-06-12,2016-05-12,"HuaDe","9","0.5W",1172.694,"NingBoHaiZhao",5000,5,715,39,48,1,0,0
"20",2016-07-15,2016-06-15,2016-06-20,2016-05-12,"HuaDe","2","0.5W",1867.036,"NingBoBaoDa",5000,5,715,39,43,1,0,1
"21",2016-07-15,2016-06-15,2016-06-20,2016-05-12,"HuaDe","2","0.5W",305.211,"NingBoHaiZhao",5000,5,715,39,43,1,0,1
"22",2016-07-15,2016-06-15,2016-06-20,2016-05-12,"HuaDe","2","0.5W",2267.38,"NingBoHuaPu",7500,5,715,39,43,1,0,1
"23",2016-07-15,2016-06-20,2016-06-25,2016-05-12,"HuaDe","10","1.3-1.5W",4604.984,"NingBoBaoDa",5000,5,715,39,28.5,1,0,0
"24",2016-07-15,2016-06-20,2016-06-25,2016-05-12,"HuaDe","10","1.3-1.5W",1918.174,"NingBoHaiZhao",5000,5,715,39,28.5,1,0,0
"25",2016-07-15,2016-06-20,2016-06-25,2016-05-12,"HuaDe","10","1.3-1.5W",8074.814,"NingBoZhenHai",16000,0,715,34,28.5,1,0,0
"26",2016-07-15,2016-06-20,2016-06-25,2016-05-12,"HuaDe","9","0.5W",3757.49,"JiaoJiangSSZD",5100,5,830,39,50,1,0,0
"27",2016-07-15,2016-06-20,2016-06-25,2016-05-12,"HuaDe","9","0.5W",1215.995,"NingBoHaiZhao",5000,5,715,39,50,1,0,0
"28",2016-07-15,2016-06-22,2016-06-27,2016-05-12,"HuaDe","11","0.5W",4973.009,"NingBoHaiZhao",5000,5,715,39,43,1,0,0
"29",2016-07-15,2016-06-29,2016-07-04,2016-05-12,"HuaDe","12","0.5W",4973.009,"NingBoHaiZhao",5000,5,715,39,43,1,0,0
"30",2016-07-15,2016-07-01,2016-07-06,2016-05-12,"HuaDe","9","0.5W",2870.327,"NingBoHaiZhao",5000,5,715,39,50,1,0,0
"31",2016-07-15,2016-07-01,2016-07-06,2016-05-12,"HuaDe","9","0.5W",2070.435,"JiaoJiangSSZD",5100,5,830,39,50,1,0,0
"32",2016-07-15,2016-07-03,2016-07-08,2016-05-12,"HuaDe","13","1-1.25W",9746.775,"NingBoZhenHai",16000,0,715,34,28,1,0,0
"33",2016-07-15,2016-07-08,2016-07-13,2016-05-12,"HuaDe","14","0.5W",4699.966,"NingBoHaiZhao",5000,5,715,39,43,1,0,0
